YEAR,AGE_GROUP,COUNT
2021-22,0,2
2021-22,1,4
2021-22,2,7
2021-22,3,3
2021-22,4,6
2021-22,5,3
2021-22,6,3
2021-22,7,2
2021-22,9,1
2021-22,14,1
2021-22,15,1
2021-22,16,1
2021-22,18,1
2021-22,20,1
2021-22,24,1
2021-22,30+,3
2022-23,0,14
2022-23,1,15
2022-23,2,16
2022-23,3,16
2022-23,4,14
2022-23,5,10
2022-23,6,6
2022-23,7,12
2022-23,8,5
2022-23,9,4
2022-23,11,1
2022-23,12,3
2022-23,13,1
2022-23,14,2
2022-23,15,1
2022-23,16,1
2022-23,17,3
2022-23,18,3
2022-23,19,1
2022-23,21,3
2022-23,22,3
2022-23,23,1
2022-23,26,1
2022-23,27,3
2022-23,30+,10
2023-24,0,9
2023-24,1,9
2023-24,2,11
2023-24,3,14
2023-24,4,12
2023-24,5,17
2023-24,6,14
2023-24,7,12
2023-24,8,7
2023-24,9,6
2023-24,10,2
2023-24,11,2
2023-24,12,4
2023-24,13,1
2023-24,14,4
2023-24,15,4
2023-24,16,2
2023-24,17,1
2023-24,18,3
2023-24,19,3
2023-24,22,1
2023-24,24,1
2023-24,25,2
2023-24,27,2
2023-24,29,2
2023-24,30+,21
2021-22,2,2
2021-22,2,2
2021-22,2,2
2021-22,1,1
2021-22,0,0
2021-22,5,5
2021-22,2,2
2021-22,2,2
2021-22,2,2
2021-22,1,1
2021-22,2,2
2021-22,1,1
2021-22,1,1
2021-22,2,2
2021-22,2,2
2021-22,0,0
2021-22,1,1
2021-22,1,1
2021-22,3,3
2021-22,3,3
2021-22,0,0
2021-22,2,2
2021-22,0,0
2021-22,1,1
2021-22,0,0
2021-22,1,1
2021-22,0,0
2021-22,1,1
2021-22,1,1
2021-22,0,0
2021-22,0,0
2021-22,1,1
2021-22,0,0
2021-22,0,0
2021-22,0,0
2021-22,1,1
2021-22,0,0
2021-22,0,0
2022-23,2,2
2022-23,1,1
2022-23,2,2
2022-23,5,5
2022-23,10,10
2022-23,6,6
2022-23,6,6
2022-23,17,17
2022-23,21,21
2022-23,16,16
2022-23,20,20
2022-23,21,21
2022-23,9,9
2022-23,8,8
2022-23,9,9
2022-23,4,4
2022-23,3,3
2022-23,3,3
2022-23,0,0
2022-23,3,3
2022-23,2,2
2022-23,3,3
2022-23,0,0
2022-23,3,3
2022-23,0,0
2022-23,0,0
2022-23,0,0
2022-23,1,1
2022-23,0,0
2022-23,0,0
2022-23,1,1
2022-23,2,2
2022-23,1,1
2022-23,1,1
2022-23,2,2
2022-23,0,0
2022-23,0,0
2022-23,0,0
2022-23,0,0
2022-23,1,1
2022-23,1,1
2022-23,0,0
2022-23,0,0
2022-23,0,0
2022-23,1,1
2022-23,0,0
2022-23,0,0
2022-23,0,0
2022-23,0,0
2022-23,0,0
2022-23,1,1
2022-23,1,1
2023-24,1,1
2023-24,0,0
2023-24,1,1
2023-24,1,1
2023-24,1,1
2023-24,3,3
2023-24,8,8
2023-24,2,2
2023-24,1,1
2023-24,6,6
2023-24,11,11
2023-24,10,10
2023-24,11,11
2023-24,20,20
2023-24,9,9
2023-24,7,7
2023-24,10,10
2023-24,9,9
2023-24,12,12
2023-24,11,11
2023-24,8,8
2023-24,14,14
2023-24,6,6
2023-24,6,6
2023-24,8,8
2023-24,7,7
2023-24,5,5
2023-24,3,3
2023-24,3,3
2023-24,2,2
2023-24,1,1
2023-24,0,0
2023-24,1,1
2023-24,1,1
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,1,1
2023-24,0,0
2023-24,1,1
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,0,0
2023-24,1,0
