Country,Year-week (ISO 8601 calender),Influenza positive
Afghanistan,2023,137
Albania,2023,55
Algeria,2023,260
Argentina,2023,117
Armenia,2023,17
Australia,2023,1510
Austria,2023,411
Azerbaijan,2023,3
Bahrain,2023,449
Bangladesh,2023,34
Barbados,2023,187
Belarus,2023,42
Belgium,2023,39
Belize,2023,22
Bhutan,2023,306
Bolivia (Plurinational State of),2023,2
Brazil,2023,939
Brunei Darussalam,2023,106
Bulgaria,2023,34
Burkina Faso,2023,62
Cambodia,2023,133
Cameroon,2023,122
Canada,2023,35026
Cayman Islands,2023,82
Central African Republic,2023,3
Chad,2023,0
Chile,2023,1925
China,2023,121075
"China, Hong Kong SAR",2023,2790
Colombia,2023,238
Costa Rica,2023,0
Croatia,2023,442
Czechia,2023,364
Democratic Republic of the Congo,2023,56
Denmark,2023,6851
Dominican Republic,2023,31
Ecuador,2023,318
Egypt,2023,1387
El Salvador,2023,22
Estonia,2023,220
Ethiopia,2023,404
Fiji,2023,56
Finland,2023,5
France,2023,3710
French Guiana,2023,66
Gabon,2023,5
Georgia,2023,42
Germany,2023,239
Ghana,2023,86
Greece,2023,92
Guadeloupe,2023,0
Guatemala,2023,22
Guinea,2023,56
Guyana,2023,26
Haiti,2023,106
Honduras,2023,130
Hungary,2023,54
Iceland,2023,246
India,2023,484
Indonesia,2023,73
Iran (Islamic Republic of),2023,10298
Iraq,2023,64
Ireland,2023,607
Israel,2023,35
Italy,2023,2841
Jamaica,2023,52
Japan,2023,3127
Jordan,2023,356
Kazakhstan,2023,510
Kenya,2023,37
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2023,11
Krgyzstan,2023,105
Lao People's Democratic Republic,2023,301
Latvia,2023,55
Lebanon,2023,219
Liberia,2023,0
Libya,2023,124
Liechtenstein,2023,9
Lithuania,2023,104
Luxembourg,2023,75
Madagascar,2023,358
Malaysia,2023,1021
Maldives,2023,70
Mali,2023,18
Malta,2023,289
Mauritania,2023,1
Mauritius,2023,59
Mexico,2023,3760
Mongolia,2023,183
Montenegro,2023,26
Morocco,2023,51
Mozambique,2023,76
Myanmar,2023,5
Namibia,2023,0
Nepal,2023,328
Netherlands (Kingdom of the),2023,1580
New Zealand,2023,50
Nicaragua,2023,141
Niger,2023,31
Nigeria,2023,5
North Macedonia,2023,25
Norway,2023,5849
Oman,2023,657
Pakistan,2023,582
Panama,2023,36
Papua New Guinea,2023,16
Paraguay,2023,8
Peru,2023,0
Philippines,2023,224
Poland,2023,213
Portugal,2023,9088
Qatar,2023,1220
Republic of Moldova,2023,59
Romania,2023,312
Russian Federation,2023,9310
Rwanda,2023,6
Saint Lucia,2023,28
Saint Vincent and the Grenadines,2023,27
Saudi Arabia,2023,2322
Senegal,2023,72
Serbia,2023,41
Seychelles,2023,0
Sierra Leone,2023,0
Singapore,2023,413
Slovakia,2023,122
Slovenia,2023,434
Somalia,2023,28
South Africa,2023,38
South Sudan,2023,15
Spain,2023,9132
Sri Lanka,2023,99
Suriname,2023,1
Sweden,2023,6036
Switzerland,2023,3465
Syrian Arab Republic,2023,76
Tajikistan,2023,166
Thailand,2023,603
Timor-Leste,2023,19
Togo,2023,79
Tunisia,2023,18
Uganda,2023,47
Ukraine,2023,252
United Arab Emirates,2023,3170
"United Kingdom, England",2023,12860
"United Kingdom, Northen Ireland",2023,674
"United Kingdom, Scotland",2023,3596
"United Kingdom, Wales",2023,662
United Republic of Tanzania,2023,145
United States of America,2023,125513
Uruguay,2023,1
Uzbekistan,2023,86
Venezuela (Bolivarian Republic of),2023,77
Viet Nam,2023,272
Yemen,2023,4
Zambia,2023,22
Zimbabwe,2023,137
